id,symbol,aliases,input_kinds,mcp_tool,source
indicator.know_sure_thing,KnowSureThing,,bars,native_batch_calculate,crates/roze-ta/src/indicators/know_sure_thing.rs
indicator.macd,MACD,indicator.moving_average_convergence_divergence,bars,native_batch_calculate,crates/roze-ta/src/indicators/macd.rs
indicator.momentum_index,MomentumIndex,,bars,native_batch_calculate,crates/roze-ta/src/indicators/momentum_index.rs
indicator.money_flow_index,MoneyFlowIndex,,bars,native_batch_calculate,crates/roze-ta/src/indicators/money_flow_index.rs
indicator.parabolic_sar,ParabolicSAR,indicator.parabolic_stop_and_reverse,bars,native_batch_calculate,crates/roze-ta/src/indicators/parabolic_sar.rs
indicator.pivot_reversal_strategy,PivotReversalStrategy,,bars,native_batch_calculate,crates/roze-ta/src/indicators/pivot_reversal_strategy.rs
indicator.price_channel_strategy,PriceChannelStrategy,,bars,native_batch_calculate,crates/roze-ta/src/indicators/price_channel_strategy.rs
indicator.relative_strength_index,RelativeStrengthIndex,indicator.rsi,bars,native_batch_calculate,crates/roze-ta/src/indicators/relative_strength_index.rs
indicator.relative_vigor_index,RelativeVigorIndex,,bars,native_batch_calculate,crates/roze-ta/src/indicators/relative_vigor_index.rs
indicator.smi_ergodic_indicator,SMIErgodicIndicator,,bars,native_batch_calculate,crates/roze-ta/src/indicators/smi_ergodic_indicator.rs
indicator.stochastic_oscillator,StochasticOscillator,,bars,native_batch_calculate,crates/roze-ta/src/indicators/stochastic_oscillator.rs
indicator.trend_strength_index,TrendStrengthIndex,,bars,native_batch_calculate,crates/roze-ta/src/indicators/trend_strength_index.rs
indicator.trix,Trix,,bars,native_batch_calculate,crates/roze-ta/src/indicators/trix.rs
indicator.true_strength_index,TrueStrengthIndex,,bars,native_batch_calculate,crates/roze-ta/src/indicators/true_strength_index.rs
indicator.woodies_cci,WoodiesCCI,,bars,native_batch_calculate,crates/roze-ta/src/indicators/woodies_cci.rs
method.adi,ADI,,bars,native_batch_calculate,crates/roze-ta/src/methods/adi.rs
method.cci,CCI,,scalars,native_batch_calculate,crates/roze-ta/src/methods/cci.rs
method.collapse_timeframe,CollapseTimeframe,,bars,native_batch_calculate,crates/roze-ta/src/methods/collapse_timeframe.rs
method.conv,Conv,,scalars,native_batch_calculate,crates/roze-ta/src/methods/conv.rs
method.cross,Cross,,pairs,native_batch_calculate,crates/roze-ta/src/methods/cross.rs
method.cross_above,CrossAbove,,pairs,native_batch_calculate,crates/roze-ta/src/methods/cross.rs
method.cross_under,CrossUnder,,pairs,native_batch_calculate,crates/roze-ta/src/methods/cross.rs
method.derivative,Derivative,method.differential,scalars,native_batch_calculate,crates/roze-ta/src/methods/derivative.rs
method.ema,EMA,,scalars,native_batch_calculate,crates/roze-ta/src/methods/ema.rs
method.dma,DMA,,scalars,native_batch_calculate,crates/roze-ta/src/methods/ema.rs
method.tma,TMA,,scalars,native_batch_calculate,crates/roze-ta/src/methods/ema.rs
method.dema,DEMA,,scalars,native_batch_calculate,crates/roze-ta/src/methods/ema.rs
method.tema,TEMA,,scalars,native_batch_calculate,crates/roze-ta/src/methods/ema.rs
method.heikin_ashi,HeikinAshi,,bars,native_batch_calculate,crates/roze-ta/src/methods/heikin_ashi.rs
method.highest_lowest_delta,HighestLowestDelta,,scalars,native_batch_calculate,crates/roze-ta/src/methods/highest_lowest.rs
method.highest,Highest,,scalars,native_batch_calculate,crates/roze-ta/src/methods/highest_lowest.rs
method.lowest,Lowest,,scalars,native_batch_calculate,crates/roze-ta/src/methods/highest_lowest.rs
method.highest_index,HighestIndex,,scalars,native_batch_calculate,crates/roze-ta/src/methods/highest_lowest_index.rs
method.lowest_index,LowestIndex,,scalars,native_batch_calculate,crates/roze-ta/src/methods/highest_lowest_index.rs
method.hma,HMA,,scalars,native_batch_calculate,crates/roze-ta/src/methods/hma.rs
method.integral,Integral,method.sum,scalars,native_batch_calculate,crates/roze-ta/src/methods/integral.rs
method.lin_reg,LinReg,method.lsma,scalars,native_batch_calculate,crates/roze-ta/src/methods/lin_reg.rs
method.mean_abs_dev,MeanAbsDev,,scalars,native_batch_calculate,crates/roze-ta/src/methods/mean_abs_dev.rs
method.median_abs_dev,MedianAbsDev,,scalars,native_batch_calculate,crates/roze-ta/src/methods/median_abs_dev.rs
method.momentum,Momentum,method.change|method.mtm,scalars,native_batch_calculate,crates/roze-ta/src/methods/momentum.rs
method.past,Past,,scalars|pairs|bars|values,native_batch_calculate,crates/roze-ta/src/methods/past.rs
method.rate_of_change,RateOfChange,method.roc,scalars,native_batch_calculate,crates/roze-ta/src/methods/rate_of_change.rs
method.renko,Renko,,bars,native_batch_calculate,crates/roze-ta/src/methods/renko.rs
method.reversal_signal,ReversalSignal,,scalars,native_batch_calculate,crates/roze-ta/src/methods/reversal.rs
method.upper_reversal_signal,UpperReversalSignal,,scalars,native_batch_calculate,crates/roze-ta/src/methods/reversal.rs
method.lower_reversal_signal,LowerReversalSignal,,scalars,native_batch_calculate,crates/roze-ta/src/methods/reversal.rs
method.rma,RMA,method.mma|method.smma,scalars,native_batch_calculate,crates/roze-ta/src/methods/rma.rs
method.sma,SMA,,scalars,native_batch_calculate,crates/roze-ta/src/methods/sma.rs
method.smm,SMM,,scalars,native_batch_calculate,crates/roze-ta/src/methods/smm.rs
method.st_dev,StDev,,scalars,native_batch_calculate,crates/roze-ta/src/methods/st_dev.rs
method.swma,SWMA,,scalars,native_batch_calculate,crates/roze-ta/src/methods/swma.rs
method.tr,TR,,bars,native_batch_calculate,crates/roze-ta/src/methods/tr.rs
method.trima,TRIMA,,scalars,native_batch_calculate,crates/roze-ta/src/methods/trima.rs
method.tsi,TSI,,scalars,native_batch_calculate,crates/roze-ta/src/methods/tsi.rs
method.vidya,Vidya,,scalars,native_batch_calculate,crates/roze-ta/src/methods/vidya.rs
method.linear_volatility,LinearVolatility,,scalars,native_batch_calculate,crates/roze-ta/src/methods/volatility.rs
method.vwma,VWMA,,pairs,native_batch_calculate,crates/roze-ta/src/methods/vwma.rs
method.wma,WMA,,scalars,native_batch_calculate,crates/roze-ta/src/methods/wma.rs
method.wsma,WSMA,,scalars,native_batch_calculate,crates/roze-ta/src/methods/wsma.rs
